MyDollarBot-BOTGo,,,
https://github.com/JayProngs/MyDollarBot-BOTGo,,,
Group No 69,,,
Questions, Project 3 Rating,Evidence,Comments
"Question 5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?*",3,Yes visble to all users.,
,,,
,,,
Q6 - Your software's maintainability,,,
Question 6.1: Is your software’s architecture and design modular?*,3,No,
Question 6.2: Does your software use an accepted coding standard or convention?*,3,Yes. Automated tools are used in order to ensure the same,
,,,
,,,
Q7 - Open standards and your software,,,
"Question 7.1: Does your software allow data to be imported and exported using open data formats?* e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",3,Software allows results to be export result to be exported in csv and PDF,
"Question 7.2: Does your software allow communications using open communications protocols?* e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",3,yes,
,,,
,,,
Q8 - Your software's portability,,,
"Question 8.1: Is your software cross-platform compatible?* e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",3,"As the software is telegram bot, it will be compatible wherever telegram works",
,,,
,,,
Q9 - Your software and accessibility,,,
Question 9.1: Does your software adhere to appropriate accessibility conventions or standards?*,2,Yes,
Question 9.2: Does your documentation adhere to appropriate accessibility conventions or standards?*,2,Yes,
,,,
,,,
Q10 - How you manage your source code,,,
Question 10.1: Is your source code stored in a repository under revision control?*,3,Yes,
Question 10.2: Is each source code release a snapshot of the repository?*,3,Yes,
Question 10.3: Are releases tagged in the repository?*,3,Yes,
"Question 10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)*",3,Yes,
Question 10.5: Do you back-up your repository?*,3,Yes,
,,,
,,,
Q11 - Building and installing your software,,,
Question 11.1: Do you provide publicly-available instructions for building your software from the source code?*,3,Yes,
"Question 11.2: Can you build, or package, your software using an automated tool?*e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",0,No,
Question 11.3: Do you provide publicly-available instructions for deploying your software?*,Yes,,
Question 11.4: Does your documentation list all third-party dependencies?*,Yes,,
Question 11.5: Does your documentation list the version number for all third-party dependencies?*,Yes,,
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?*",Yes,,
"Question 11.7: Can you download dependencies using a dependency management tool or package manager?*e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",Yes,,
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?*,Yes,,
,,,
,,,
Q12 - How you test your software,,,
Question 12.1: Do you have an automated test suite for your software?*,Yes,,
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?*,Yes,,
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?*",Yes,,
Question 12.4: Are your test results publicly visible?*,Yes,,
Question 12.5: Are all manually-run tests documented?*,Yes,,
,,,
,,,
Q13 - How you engage with your community,,,
"Question 13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?* e.g. release announcements, publications, workshops, conference presentations",Yes,,
Question 13.2: Does your website state how many projects and users are associated with your project?*,Yes,,
Question 13.3: Do you provide success stories on your website?*,No,,
Question 13.4: Do you list your important partners and collaborators on your website?*,Yes,,
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?*,Yes,,
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?*,No,,
Question 13.7: Can users subscribe to notifications to changes to your source code repository?*,No,,
"Question 13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?*",Yes,,
,,,
,,,
Q14 - How you manage contributions,,,
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?*",Yes,,
Question 14.2: Do you have a contributions policy?*,Yes,,
Question 14.3: Is your contributions' policy publicly available?*,Yes,,
Question 14.4: Do contributors keep the copyright/IP of their contributions?*,Yes,,
,,,
,,,
Q15 - Your software's copyright and licensing,,,
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?*,,,
Question 15.2: Does each of your source code files include a copyright statement?*,Yes,,
Question 15.3: Does your website and documentation clearly state the licence of your software?*,No,,
Question 15.4: Is your software released under an open source licence?*,Yes,,
Question 15.5: Is your software released under an OSI-approved open-source licence?*,Yes,,
Question 15.6: Does each of your source code files include a licence header?*,Yes,,
Question 15.7: Do you have a recommended citation for your software?*,Yes,,
,No,,
,,,
Q16 - Your plans for the future,,,
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?*",Yes,,
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?*",No,,
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?*",No,,
